,State,District,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
60,Assam,Hailakandi,,4929,6079,0,34,1116,"{'confirmed': 4, 'deceased': 0, 'recovered': 0}",4,0,0
61,Assam,Hojai,,5795,7058,0,103,1160,"{'confirmed': 17, 'deceased': 0, 'recovered': 0}",17,0,0
62,Assam,Jorhat,,21134,23152,0,266,1752,"{'confirmed': 38, 'deceased': 0, 'recovered': 0}",38,0,0
63,Assam,Kamrup,,28948,31268,0,246,2074,"{'confirmed': 46, 'deceased': 1, 'recovered': 0}",46,1,0
64,Assam,Kamrup Metropolitan,,86012,102179,0,797,15370,"{'confirmed': 161, 'deceased': 2, 'recovered': 0}",161,2,0
65,Assam,Karbi Anglong,,6131,6787,0,104,552,"{'confirmed': 17, 'deceased': 0, 'recovered': 0}",17,0,0
66,Assam,Karimganj,,6649,7690,0,86,955,"{'confirmed': 10, 'deceased': 0, 'recovered': 0}",10,0,0
67,Assam,Kokrajhar,,4898,5311,0,60,353,"{'confirmed': 11, 'deceased': 1, 'recovered': 0}",11,1,0
68,Assam,Lakhimpur,,12699,13925,0,91,1135,"{'confirmed': 42, 'deceased': 0, 'recovered': 0}",42,0,0
69,Assam,Majuli,,1686,1774,0,8,80,"{'confirmed': 11, 'deceased': 0, 'recovered': 0}",11,0,0
70,Assam,Morigaon,,12264,12888,0,67,557,"{'confirmed': 32, 'deceased': 0, 'recovered': 0}",32,0,0
71,Assam,Nagaon,,20934,23628,0,188,2506,"{'confirmed': 34, 'deceased': 1, 'recovered': 0}",34,1,0
72,Assam,Nalbari,,8686,9612,0,98,828,"{'confirmed': 41, 'deceased': 0, 'recovered': 0}",41,0,0
73,Assam,Other State,,152,153,0,0,1,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
74,Assam,Sivasagar,,9278,9911,0,160,473,"{'confirmed': 17, 'deceased': 1, 'recovered': 0}",17,1,0
75,Assam,Sonitpur,,17905,19836,0,204,1727,"{'confirmed': 25, 'deceased': 1, 'recovered': 0}",25,1,0
76,Assam,South Salmara Mankachar,,1776,1839,0,16,47,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
77,Assam,Tinsukia,,17346,19387,0,243,1798,"{'confirmed': 25, 'deceased': 0, 'recovered': 0}",25,0,0
78,Assam,Udalguri,,4684,5418,0,68,666,"{'confirmed': 14, 'deceased': 2, 'recovered': 0}",14,2,0
79,Assam,West Karbi Anglong,,1193,1233,0,3,37,"{'confirmed': 4, 'deceased': 1, 'recovered': 0}",4,1,0
80,Assam,Unknown,,-405078,112271,1347,1143,514859,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
81,Bihar,Araria,,8,14958,0,116,14834,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
82,Bihar,Arwal,,8,7377,0,74,7295,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
83,Bihar,Aurangabad,,0,20009,0,75,19934,"{'confirmed': 1, 'deceased': 0, 'recovered': 2}",1,0,2
84,Bihar,Banka,,0,7378,0,112,7266,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
85,Bihar,Begusarai,,7,27181,0,457,26717,"{'confirmed': 9, 'deceased': 0, 'recovered': 3}",9,0,3
86,Bihar,Bhagalpur,,12,25825,0,309,25504,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
87,Bihar,Bhojpur,,9,10172,0,159,10004,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
88,Bihar,Buxar,,0,9248,0,182,9066,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
89,Bihar,Darbhanga,,27,10897,0,366,10504,"{'confirmed': 5, 'deceased': 0, 'recovered': -1}",5,0,-1
90,Bihar,East Champaran,,22,19000,0,430,18548,"{'confirmed': 1, 'deceased': 0, 'recovered': 4}",1,0,4
91,Bihar,Gaya,,6,33937,0,279,33652,"{'confirmed': 2, 'deceased': 0, 'recovered': 1}",2,0,1
92,Bihar,Gopalganj,,1,16671,0,94,16576,"{'confirmed': 2, 'deceased': 0, 'recovered': 1}",2,0,1
93,Bihar,Jamui,,4,9410,0,106,9300,"{'confirmed': 0, 'deceased': 0, 'recovered': 2}",0,0,2
94,Bihar,Jehanabad,,0,10770,0,109,10661,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
95,Bihar,Kaimur,,0,4983,0,147,4836,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
96,Bihar,Katihar,,14,18119,0,94,18011,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
97,Bihar,Khagaria,,0,10054,0,88,9966,"{'confirmed': 3, 'deceased': 0, 'recovered': 3}",3,0,3
98,Bihar,Kishanganj,,15,10103,0,66,10022,"{'confirmed': 1, 'deceased': 0, 'recovered': 2}",1,0,2
99,Bihar,Lakhisarai,,6,7768,0,102,7660,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
100,Bihar,Madhepura,,8,12519,0,111,12400,"{'confirmed': 0, 'deceased': 0, 'recovered': 5}",0,0,5
101,Bihar,Madhubani,,4,18332,0,337,17991,"{'confirmed': 2, 'deceased': 0, 'recovered': 2}",2,0,2
102,Bihar,Munger,,3,15101,0,158,14940,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
103,Bihar,Muzaffarpur,,12,31379,0,621,30746,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
104,Bihar,Nalanda,,14,23421,0,468,22939,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
