,,,notes,active,confirmed,migratedother,deceased,recovered,delta,delta_confirmed,delta_deceased,delta_recovered
Bihar,Aurangabad,0,,0,20009,0,75,19934,"{'confirmed': 1, 'deceased': 0, 'recovered': 2}",1,0,2
Bihar,Banka,0,,0,7378,0,112,7266,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
Bihar,Begusarai,0,,7,27181,0,457,26717,"{'confirmed': 9, 'deceased': 0, 'recovered': 3}",9,0,3
Bihar,Bhagalpur,0,,12,25825,0,309,25504,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
Bihar,Bhojpur,0,,9,10172,0,159,10004,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
Bihar,Buxar,0,,0,9248,0,182,9066,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Darbhanga,0,,27,10897,0,366,10504,"{'confirmed': 5, 'deceased': 0, 'recovered': -1}",5,0,-1
Bihar,East Champaran,0,,22,19000,0,430,18548,"{'confirmed': 1, 'deceased': 0, 'recovered': 4}",1,0,4
Bihar,Gaya,0,,6,33937,0,279,33652,"{'confirmed': 2, 'deceased': 0, 'recovered': 1}",2,0,1
Bihar,Gopalganj,0,,1,16671,0,94,16576,"{'confirmed': 2, 'deceased': 0, 'recovered': 1}",2,0,1
Bihar,Jamui,0,,4,9410,0,106,9300,"{'confirmed': 0, 'deceased': 0, 'recovered': 2}",0,0,2
Bihar,Jehanabad,0,,0,10770,0,109,10661,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Kaimur,0,,0,4983,0,147,4836,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Katihar,0,,14,18119,0,94,18011,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
Bihar,Khagaria,0,,0,10054,0,88,9966,"{'confirmed': 3, 'deceased': 0, 'recovered': 3}",3,0,3
Bihar,Kishanganj,0,,15,10103,0,66,10022,"{'confirmed': 1, 'deceased': 0, 'recovered': 2}",1,0,2
Bihar,Lakhisarai,0,,6,7768,0,102,7660,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Madhepura,0,,8,12519,0,111,12400,"{'confirmed': 0, 'deceased': 0, 'recovered': 5}",0,0,5
Bihar,Madhubani,0,,4,18332,0,337,17991,"{'confirmed': 2, 'deceased': 0, 'recovered': 2}",2,0,2
Bihar,Munger,0,,3,15101,0,158,14940,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Muzaffarpur,0,,12,31379,0,621,30746,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
Bihar,Nalanda,0,,14,23421,0,468,22939,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
Bihar,Nawada,0,,2,10344,0,178,10164,"{'confirmed': 2, 'deceased': 0, 'recovered': 2}",2,0,2
Bihar,Patna,0,,38,146831,0,2330,144463,"{'confirmed': 5, 'deceased': 0, 'recovered': 3}",5,0,3
Bihar,Purnia,0,,3,24406,0,180,24223,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Rohtas,0,,7,13958,0,269,13682,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Saharsa,0,,3,17591,0,134,17454,"{'confirmed': 2, 'deceased': 0, 'recovered': 2}",2,0,2
Bihar,Samastipur,0,,19,19977,0,154,19804,"{'confirmed': 2, 'deceased': 0, 'recovered': 7}",2,0,7
Bihar,Saran,0,,1,23267,0,255,23011,"{'confirmed': 3, 'deceased': 0, 'recovered': 3}",3,0,3
Bihar,Sheikhpura,0,,2,7690,0,75,7613,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Sheohar,0,,1,4395,0,36,4358,"{'confirmed': 0, 'deceased': 0, 'recovered': 1}",0,0,1
Bihar,Sitamarhi,0,,3,9169,0,127,9039,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
Bihar,Siwan,0,,0,15193,0,170,15023,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Supaul,0,,1,17202,0,128,17073,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Bihar,Vaishali,0,,12,19806,1,192,19601,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
Bihar,West Champaran,0,,4,20885,0,358,20523,"{'confirmed': 1, 'deceased': 0, 'recovered': 1}",1,0,1
Chandigarh,Chandigarh,0,,35,61997,0,811,61151,"{'confirmed': 5, 'deceased': 0, 'recovered': 1}",5,0,1
Chhattisgarh,Other State,0,,19,766,0,131,616,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Chhattisgarh,Balod,0,,23,27256,0,396,26837,"{'confirmed': 0, 'deceased': 0, 'recovered': 3}",0,0,3
Chhattisgarh,Baloda Bazar,0,,124,43005,0,470,42411,"{'confirmed': 4, 'deceased': 0, 'recovered': 8}",4,0,8
Chhattisgarh,Balrampur,0,,30,20276,0,118,20128,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
Chhattisgarh,Bametara,0,,6,19943,0,236,19701,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Chhattisgarh,Bastar,0,,154,20927,0,188,20585,"{'confirmed': 16, 'deceased': 0, 'recovered': 6}",16,0,6
Chhattisgarh,Bijapur,0,,50,8255,0,54,8151,"{'confirmed': 2, 'deceased': 0, 'recovered': 6}",2,0,6
Chhattisgarh,Bilaspur,0,,82,65457,0,1205,64170,"{'confirmed': 6, 'deceased': 0, 'recovered': 3}",6,0,3
Chhattisgarh,Dakshin Bastar Dantewada,0,,30,10746,0,24,10692,"{'confirmed': 3, 'deceased': 0, 'recovered': 12}",3,0,12
Chhattisgarh,Dhamtari,0,,33,27188,0,544,26611,"{'confirmed': 2, 'deceased': 0, 'recovered': 7}",2,0,7
Chhattisgarh,Durg,0,,127,96644,0,1794,94723,"{'confirmed': 1, 'deceased': 0, 'recovered': 5}",1,0,5
Chhattisgarh,Gariaband,0,,22,19668,0,194,19452,"{'confirmed': 0, 'deceased': 0, 'recovered': 8}",0,0,8
Chhattisgarh,Janjgir Champa,0,,102,57429,0,830,56497,"{'confirmed': 8, 'deceased': 0, 'recovered': 17}",8,0,17
Chhattisgarh,Jashpur,0,,92,26924,0,212,26620,"{'confirmed': 5, 'deceased': 0, 'recovered': 5}",5,0,5
Chhattisgarh,Kabeerdham,0,,9,22768,0,267,22492,"{'confirmed': 1, 'deceased': 0, 'recovered': 0}",1,0,0
Chhattisgarh,Kondagaon,0,,24,13062,0,99,12939,"{'confirmed': 3, 'deceased': 0, 'recovered': 2}",3,0,2
Chhattisgarh,Korba,0,,66,54569,0,575,53928,"{'confirmed': 3, 'deceased': 0, 'recovered': 4}",3,0,4
Chhattisgarh,Koriya,0,,41,26918,0,175,26702,"{'confirmed': 6, 'deceased': 0, 'recovered': 1}",6,0,1
Chhattisgarh,Mahasamund,0,,33,31319,0,364,30922,"{'confirmed': 2, 'deceased': 1, 'recovered': 5}",2,1,5
Chhattisgarh,Mungeli,0,,14,23891,0,167,23710,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
Chhattisgarh,Narayanpur,0,,30,4003,0,14,3959,"{'confirmed': 0, 'deceased': 0, 'recovered': 7}",0,0,7
Chhattisgarh,Raigarh,0,,60,62463,0,978,61425,"{'confirmed': 2, 'deceased': 0, 'recovered': 10}",2,0,10
Chhattisgarh,Raipur,0,,121,157796,0,3139,154536,"{'confirmed': 4, 'deceased': 0, 'recovered': 9}",4,0,9
Chhattisgarh,Rajnandgaon,0,,12,56011,0,514,55485,"{'confirmed': 1, 'deceased': 0, 'recovered': 5}",1,0,5
Chhattisgarh,Sukma,0,,48,7967,0,20,7899,"{'confirmed': 5, 'deceased': 0, 'recovered': 8}",5,0,8
Chhattisgarh,Surajpur,0,,40,29015,0,224,28751,"{'confirmed': 0, 'deceased': 0, 'recovered': 3}",0,0,3
Chhattisgarh,Surguja,0,,34,33638,0,245,33359,"{'confirmed': 1, 'deceased': 0, 'recovered': 3}",1,0,3
Chhattisgarh,Uttar Bastar Kanker,0,,118,23530,0,222,23190,"{'confirmed': 6, 'deceased': 0, 'recovered': 8}",6,0,8
Chhattisgarh,Gaurela Pendra Marwahi,0,,13,12005,0,146,11846,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,Central Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,184,184,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,East Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,38,38,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,New Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,37,37,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,North Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,60,60,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,North East Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,25,25,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,North West Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,31,32,0,1,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,Shahdara,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,48,48,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,South Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,70,70,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,South East Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,130,130,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,South West Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,42,42,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,West Delhi,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,122,122,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Delhi,Unknown,0,,-293,1436101,0,25067,1411327,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Dadra and Nagar Haveli and Daman and Diu,Other State,0,,0,0,0,0,0,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,0,,3,5905,5,3,5894,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Dadra and Nagar Haveli and Daman and Diu,Daman,0,,1,3534,26,1,3506,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Dadra and Nagar Haveli and Daman and Diu,Diu,0,,3,1218,0,0,1215,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Goa,Other State,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,9,200,0,1,190,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
Goa,North Goa,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,1639,2668,0,65,964,"{'confirmed': 0, 'deceased': 0, 'recovered': 0}",0,0,0
